gamma,beta,expected_cut,approximation_ratio,top_measurement,top_probability
0.7853981633974483,1.413716694115407,0.9875424336712506,0.4937712168356253,000,0.2531143915821874
0.7853981633974483,1.4922565104551517,1.2498834478294718,0.6249417239147359,000,0.18752913804263208
0.7853981633974483,1.5707963267948966,1.5,0.75,000,0.125
0.9424777960769379,0.0,1.5,0.75,000,0.125
0.9424777960769379,0.07853981633974483,1.6963940251345933,0.8481970125672966,010,0.14136616876121613
0.9424777960769379,0.15707963267948966,1.8255127457812104,0.9127563728906052,011,0.15212606214843422
0.9424777960769379,0.23561944901923448,1.8747171219399348,0.9373585609699674,011,0.15622642682832794
0.9424777960769379,0.3141592653589793,1.839190686445303,0.9195953432226515,001,0.15326589053710862
0.9424777960769379,0.39269908169872414,1.72241101433076,0.86120550716538,001,0.14353425119423
0.9424777960769379,0.47123889803846897,1.5358093135546977,0.7679046567773489,001,0.12798410946289152
0.9424777960769379,0.5497787143782138,1.2976514587195749,0.6488257293597874,000,0.17558713532010622
0.9424777960769379,0.6283185307179586,1.03125,0.515625,000,0.24218749999999997
0.9424777960769379,0.7068583470577035,0.762682168303551,0.3813410841517755,000,0.30932945792411226
0.9424777960769379,0.7853981633974483,0.5182372542187895,0.25911862710939476,000,0.3704406864453026
0.9424777960769379,0.8639379797371931,0.32184322908419594,0.16092161454209797,000,0.419539192728951
0.9424777960769379,0.9424777960769379,0.19272450843757888,0.09636225421878944,000,0.4518188728906053
0.9424777960769379,1.0210176124166828,0.1435201322788547,0.07176006613942736,000,0.4641199669302863
0.9424777960769379,1.0995574287564276,0.17904656777348668,0.08952328388674334,000,0.4552383580566283
0.9424777960769379,1.1780972450961724,0.29582623988802953,0.14791311994401476,000,0.4260434400279926
0.9424777960769379,1.2566370614359172,0.482427940664092,0.241213970332046,000,0.379393014833977
0.9424777960769379,1.335176877775662,0.7205857954992148,0.3602928977496074,000,0.31985355112519637
0.9424777960769379,1.413716694115407,0.986987254218789,0.4934936271093945,000,0.25325318644530276
0.9424777960769379,1.4922565104551517,1.2555550859152382,0.6277775429576191,000,0.18611122852119039
0.9424777960769379,1.5707963267948966,1.5,0.75,000,0.125
1.0995574287564276,0.0,1.4999999999999998,0.7499999999999999,000,0.12500000000000003
1.0995574287564276,0.07853981633974483,1.6583580968916103,0.8291790484458051,001,0.13819650807430087
1.0995574287564276,0.15707963267948966,1.7429311936969518,0.8714655968484759,010,0.14524426614141267
1.0995574287564276,0.23561944901923448,1.745440686445303,0.8727203432226515,001,0.14545339053710857
1.0995574287564276,0.3141592653589793,1.6656409285017904,0.8328204642508952,011,0.1388034107084826
1.0995574287564276,0.39269908169872414,1.5113432761715333,0.7556716380857667,011,0.12594527301429445
1.0995574287564276,0.47123889803846897,1.2976514587195753,0.6488257293597877,000,0.17558713532010622
1.0995574287564276,0.5497787143782138,1.0454831201165533,0.5227415600582767,000,0.23862921997086167
1.0995574287564276,0.6283185307179586,0.7795222543050591,0.38976112715252953,000,0.30511943642373524
1.0995574287564276,0.7068583470577035,0.5258029638890347,0.26290148194451735,000,0.36854925902774127
1.0995574287564276,0.7853981633974483,0.3091610607806453,0.15458053039032266,000,0.4227097348048387
1.0995574287564276,0.8639379797371931,0.1508029638890347,0.07540148194451735,000,0.4622992590277413
1.0995574287564276,0.9424777960769379,0.06622986708369347,0.03311493354184673,000,0.48344253322907665
1.0995574287564276,1.0210176124166828,0.0637203743353425,0.03186018716767125,000,0.4840699064161644
1.0995574287564276,1.0995574287564276,0.14352013227885468,0.07176006613942734,000,0.4641199669302863
1.0995574287564276,1.1780972450961724,0.2978177846091119,0.14890889230455595,000,0.42554555384772197
1.0995574287564276,1.2566370614359172,0.5115096020610701,0.25575480103053505,000,0.3721225994847325
1.0995574287564276,1.335176877775662,0.7636779406640917,0.38183897033204584,000,0.3090805148339771
1.0995574287564276,1.413716694115407,1.0296388064755864,0.5148194032377932,000,0.2425902983811034
1.0995574287564276,1.4922565104551517,1.2833580968916098,0.6416790484458049,000,0.17916047577709748
1.0995574287564276,1.5707963267948966,1.4999999999999998,0.7499999999999999,000,0.12500000000000003
1.2566370614359172,0.0,1.5,0.75,000,0.125
1.2566370614359172,0.07853981633974483,1.603024376331263,0.8015121881656315,011,0.13358536469427193
1.2566370614359172,0.15707963267948966,1.6295593135546977,0.8147796567773489,001,0.13579660946289146
